"Station", "Date", "Time", "X", "Y", "Z"
ABAN,2010-01-01,0:0:0,5019757.194,-92324.504,3920866.192
ACAL,2010-01-01,0:0:0,5050255.296,-75879.958,3881893.561
ACIN,2010-01-01,0:0:0,4862768.375,-121966.448,4113424.252
ACNS,2010-01-01,0:0:0,4740593.652,-527730.905,4221366.673
ACOR,2010-01-01,0:0:0,4594489.860,-678367.977,4357065.862
AGRD,2010-01-01,0:0:0,4756259.494,-160321.253,4233796.535
AIO2,2010-01-01,0:0:0,4958705.458,-91678.805,3998025.583
AIRM,2010-01-01,0:0:0,5044843.811,-99386.049,3888654.840
AJAL,2010-01-01,0:0:0,4801696.604,-190640.827,4181085.577
ALAC,2010-01-01,0:0:0,5009051.386,-42072.486,3935057.482
ALBA,2010-01-01,0:0:0,4962848.132,-160854.394,3990884.136
ALBO,2010-01-01,0:0:0,5162722.062,-273660.371,3722825.725
ALC1,2010-01-01,0:0:0,4816654.86,-12215.376,4167534.563
ALCA,2010-01-01,0:0:0,4816720.578,-12101.961,4167450.608
ALCO,2010-01-01,0:0:0,4984687.417,-41199.175,3966605.937
ALDA,2010-01-01,0:0:0,4687280.517,-190877.112,4308106.536
ALGC,2010-01-01,0:0:0,5135570.614,-489449.790,3738221.719
ALHA,2010-01-01,0:0:0,5044368.603,-127398.368,3888453.153
ALIA,2010-01-01,0:0:0,4845013.919,-59465.732,4135530.239
ALME,2010-01-01,0:0:0,5105220.286,-219278.834,3804386.869
ALMO,2010-01-01,0:0:0,4971155.629,-363336.488,3967322.531
ALMZ,2010-01-01,0:0:0,4779815.484,-211948.185,4205106.79
ALOR,2010-01-01,0:0:0,4884754.316,353584.301,4072521.160
ALSA,2010-01-01,0:0:0,4677251.187,-176770.941,4319079.452
AND2,2010-01-01,0:0:0,5017458.064,-353479.076,3909148.247
ARAS,2010-01-01,0:0:0,4896737.538,-94157.042,4074155.083
AVL1,2010-01-01,0:0:0,4604889.182,-476930.722,4372677.139
AMUR,2010-01-01,0:0:0,4661499.801,-244591.805,4332269.466
ANDU,2010-01-01,0:0:0,5017453.351,-353522.046,3909149.313
ARAC,2010-01-01,0:0:0,5007190.783,-576288.615,3896600.471
ARAJ,2010-01-01,0:0:0,4881627.895,-308197.185,4080509.692
ARDU,2010-01-01,0:0:0,4762208.205,-311513.916,4218508.858
ARIB,2010-01-01,0:0:0,4676495.673,-103033.316,4322928.777
ARSP,2010-01-01,0:0:0,4859224.197,-432201.534,4095956.312
ASTO,2010-01-01,0:0:0,4687266.865,-497177.025,4283843.489
AVI2,2010-01-01,0:0:0,4829770.632,-395228.391,4134963.647
AVLS,2010-01-01,0:0:0,4604379.209,-476287.248,4373385.552
AYOR,2010-01-01,0:0:0,4958705.674,-91680.782,3998023.599
BADJ,2010-01-01,0:0:0,4934001.453,-604880.262,3983295.175
BCL1,2010-01-01,0:0:0,4792220.807,181223.524,4191031.902
BCLN,2010-01-01,0:0:0,4788065.143,167551.170,4196354.992
BEJR,2010-01-01,0:0:0,4840699.663,-487305.158,4112275.786
BERG,2010-01-01,0:0:0,4849454.363,-8239.276,4130349.573
BINE,2010-01-01,0:0:0,4758462.268,24577.119,4233287.087
BJCI,2010-01-01,0:0:0,1451227.640,-2552609.319,-5643391.738
BLGU,2010-01-01,0:0:0,4675866.224,-65347.600,4325231.773
BORR,2010-01-01,0:0:0,4899519.293,-7115.833,4069961.396
